2023-06-16:07:38:19:700,[3415346D9C0000000001C534],
2023-06-16:07:38:19:811,[3415346D9C0000000001CE36],
2023-06-16:07:38:51:070,[3415346D9C0000000001D835],
2023-06-16:07:38:53:138,[3415346D9C0000000001D835],
2023-06-16:07:38:54:819,[3415346D9C0000000001D835],
2023-06-16:07:40:49:281,[3415346D9C0000000001CDE0],
2023-06-16:07:40:49:282,[3415346D9C0000000001D2EB],
2023-06-16:07:40:49:282,[3415346D9C0000000001DDDC],
2023-06-16:07:40:49:283,[3415346D9C0000000001DDDD],
2023-06-16:07:40:49:284,[3415346D9C0000000001DDE0],
2023-06-16:07:40:49:284,[3415346D9C00000000093566],
2023-06-16:07:40:49:381,[3415346D9C0000000001D2EA],
2023-06-16:07:40:49:381,[3415346D9C0000000001DACA],
2023-06-16:07:40:58:525,[3415346D9C0000000001CDE0],
2023-06-16:07:40:58:526,[3415346D9C0000000001D2EB],
2023-06-16:07:40:58:526,[3415346D9C0000000001DDDC],
2023-06-16:07:40:58:527,[3415346D9C0000000001DDDD],
2023-06-16:07:40:58:528,[3415346D9C0000000001DDE0],
2023-06-16:07:40:58:529,[3415346D9C00000000093566],
2023-06-16:07:40:58:607,[3415346D9C0000000001D2EA],
2023-06-16:07:40:58:608,[3415346D9C0000000001DACA],
2023-06-16:07:50:59:131,[3415346D9C00000000020A1E],
2023-06-16:07:51:01:576,[3415346D9C00000000020A1E],
2023-06-16:07:51:04:140,[3415346D9C00000000020A1E],
2023-06-16:07:51:05:056,[3415346D9C00000000020A1E],
2023-06-16:07:51:05:115,[3415346D9C00000000020A1E],
2023-06-16:07:51:44:280,[3415346D9C00000000020A1E],
2023-06-16:07:56:48:870,[3415346D9C0000000001C646],
2023-06-16:07:56:48:870,[3415346D9C0000000001CFD9],
2023-06-16:07:57:12:659,[3415346D9C0000000001C646],
2023-06-16:07:57:12:659,[3415346D9C0000000001CFD9],
2023-06-16:07:57:15:000,[3415346D9C0000000001C646],
2023-06-16:07:57:15:000,[3415346D9C0000000001CFD9],
2023-06-16:07:57:29:029,[3415346D9C0000000001C646],
2023-06-16:07:57:29:029,[3415346D9C0000000001CFD9],
2023-06-16:08:02:31:892,[3415346D9C0000000001CAB2],
2023-06-16:08:02:31:907,[3415346D9C0000000001CDDE],
2023-06-16:08:02:31:907,[3415346D9C0000000001D0B8],
2023-06-16:08:02:31:907,[3415346D9C0000000001D5A8],
2023-06-16:08:02:31:907,[3415346D9C0000000001D5A9],
2023-06-16:08:02:31:907,[3415346D9C0000000001D63F],
2023-06-16:08:02:31:907,[3415346D9C0000000001D7A9],
2023-06-16:08:02:31:907,[3415346D9C0000000001D834],
